"","Package","LibPath","Version","Priority","Depends","Imports","LinkingTo","Suggests","Enhances","License","License_is_FOSS","License_restricts_use","OS_type","MD5sum","NeedsCompilation","Built"
"AnnotationDbi","AnnotationDbi","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.62.2",NA,"R (>= 2.7.0), methods, stats4, BiocGenerics (>= 0.29.2),
Biobase (>= 1.17.0), IRanges","DBI, RSQLite, S4Vectors (>= 0.9.25), stats, KEGGREST",NA,"utils, hgu95av2.db, GO.db, org.Sc.sgd.db, org.At.tair.db,
RUnit, TxDb.Hsapiens.UCSC.hg19.knownGene, org.Hs.eg.db,
reactome.db, AnnotationForge, graph, EnsDb.Hsapiens.v75,
BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"askpass","askpass","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.1",NA,NA,"sys (>= 2.1)",NA,"testthat",NA,"MIT + file LICENSE",NA,NA,NA,NA,"yes","4.3.0"
"base","base","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","4.3.0","base",NA,NA,NA,"methods",NA,"Part of R 4.3.0",NA,NA,NA,NA,NA,"4.3.0"
"BH","BH","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.81.0-1",NA,NA,NA,NA,NA,NA,"BSL-1.0",NA,NA,NA,NA,"no","4.3.0"
"Biobase","Biobase","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.60.0",NA,"R (>= 2.10), BiocGenerics (>= 0.27.1), utils","methods",NA,"tools, tkWidgets, ALL, RUnit, golubEsets, BiocStyle, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"yes","4.3.0"
"BiocFileCache","BiocFileCache","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.8.0",NA,"R (>= 3.4.0), dbplyr (>= 1.0.0)","methods, stats, utils, dplyr, RSQLite, DBI, filelock, curl,
httr",NA,"testthat, knitr, BiocStyle, rmarkdown, rtracklayer",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"BiocGenerics","BiocGenerics","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","0.46.0",NA,"R (>= 4.0.0), methods, utils, graphics, stats","methods, utils, graphics, stats",NA,"Biobase, S4Vectors, IRanges, GenomicRanges, DelayedArray,
Biostrings, Rsamtools, AnnotationDbi, affy, affyPLM, DESeq2,
flowClust, MSnbase, annotate, RUnit",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"BiocIO","BiocIO","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.10.0",NA,"R (>= 4.3.0)","BiocGenerics, S4Vectors, methods, tools",NA,"testthat, knitr, rmarkdown, BiocStyle",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"BiocManager","BiocManager","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.30.21",NA,NA,"utils",NA,"BiocVersion, remotes, rmarkdown, testthat, withr, curl, knitr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"BiocParallel","BiocParallel","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","1.34.2",NA,"methods, R (>= 3.5.0)","stats, utils, futile.logger, parallel, snow, codetools","BH, cpp11","BiocGenerics, tools, foreach, BBmisc, doParallel,
GenomicRanges, RNAseqData.HNRNPC.bam.chr14,
TxDb.Hsapiens.UCSC.hg19.knownGene, VariantAnnotation,
Rsamtools, GenomicAlignments, ShortRead, RUnit, BiocStyle,
knitr, batchtools, data.table","Rmpi","GPL-2 | GPL-3",NA,NA,NA,NA,"yes","4.3.0"
"BiocVersion","BiocVersion","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","3.17.1",NA,"R (>= 4.3.0)",NA,NA,NA,NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
"biomaRt","biomaRt","/dss/dsshome1/0F/ga89tog2/.conda/envs/rbio/lib/R/library","2.56.1",NA,"methods","utils, XML (>= 3.99-0.7), AnnotationDbi, progress, stringr,
httr, digest, BiocFileCache, rappdirs, xml2",NA,"BiocStyle, knitr, mockery, rmarkdown, testthat, webmockr",NA,"Artistic-2.0",NA,NA,NA,NA,"no","4.3.0"
